FundId,FundName,FundShortName,FundClass,FundType,FundFamily,FundBaseCurrecny,FundCountry,RegistrarId,TrustIEEId
AAAA,AAAA Fund Name AUD,AAAA,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
AAAC,AAAC Fund Name AUD,AAAC,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
AAAD,AAAD Fund Name AUD,AAAD,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
AAAE,AAAE Fund Name AUD,AAAE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
AAGF,AAGF Fund Name AUD,AAGF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
AABA,AABA Fund Name AUD,AABA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
F5LB,F5LB Fund Name AUD,F5LB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
OB1X,OB1X Fund Name AUD,OB1X,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
A070,A070 Fund Name AUD,A070,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
GDD0,GDD0 Fund Name AUD,GDD0,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
0VXH,0VXH Fund Name AUD,0VXH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TVF7,TVF7 Fund Name AUD,TVF7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
OYUY,OYUY Fund Name AUD,OYUY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
UROQ,UROQ Fund Name AUD,UROQ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
USDV,USDV Fund Name AUD,USDV,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
TFJS,TFJS Fund Name AUD,TFJS,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
XK2K,XK2K Fund Name AUD,XK2K,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
47Z9,47Z9 Fund Name AUD,47Z9,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5BET,5BET Fund Name AUD,5BET,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
SJ28,SJ28 Fund Name AUD,SJ28,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
ZON8,ZON8 Fund Name AUD,ZON8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
OXEQ,OXEQ Fund Name AUD,OXEQ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
E08A,E08A Fund Name AUD,E08A,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
PSVO,PSVO Fund Name AUD,PSVO,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4HPI,4HPI Fund Name AUD,4HPI,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
M54J,M54J Fund Name AUD,M54J,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
S1D2,S1D2 Fund Name AUD,S1D2,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
W7Q8,W7Q8 Fund Name AUD,W7Q8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
AAQY,AAQY Fund Name AUD,AAQY,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
AG0K,AG0K Fund Name AUD,AG0K,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
MLFN,MLFN Fund Name AUD,MLFN,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
RJXH,RJXH Fund Name AUD,RJXH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
N7TZ,N7TZ Fund Name AUD,N7TZ,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5SQ7,5SQ7 Fund Name AUD,5SQ7,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
110F,110F Fund Name AUD,110F,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
I14R,I14R Fund Name AUD,I14R,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
FQLJ,FQLJ Fund Name AUD,FQLJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
NN03,NN03 Fund Name AUD,NN03,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QIXL,QIXL Fund Name AUD,QIXL,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
K4J1,K4J1 Fund Name AUD,K4J1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1ACA,1ACA Fund Name AUD,1ACA,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
40BD,40BD Fund Name AUD,40BD,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
D2O3,D2O3 Fund Name AUD,D2O3,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
3NX7,3NX7 Fund Name AUD,3NX7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
9LKV,9LKV Fund Name AUD,9LKV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
HYV3,HYV3 Fund Name AUD,HYV3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
2V0B,2V0B Fund Name AUD,2V0B,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
XMHP,XMHP Fund Name AUD,XMHP,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
KX9X,KX9X Fund Name AUD,KX9X,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
S1CH,S1CH Fund Name AUD,S1CH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
PM0X,PM0X Fund Name AUD,PM0X,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
4PTC,4PTC Fund Name AUD,4PTC,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
G6DP,G6DP Fund Name AUD,G6DP,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
2M23,2M23 Fund Name AUD,2M23,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
BANR,BANR Fund Name AUD,BANR,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
7PN5,7PN5 Fund Name AUD,7PN5,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
IQ1S,IQ1S Fund Name AUD,IQ1S,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
0MDU,0MDU Fund Name AUD,0MDU,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
ZSF3,ZSF3 Fund Name AUD,ZSF3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
75NB,75NB Fund Name AUD,75NB,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5DMK,5DMK Fund Name AUD,5DMK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
W083,W083 Fund Name AUD,W083,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
Y3L4,Y3L4 Fund Name AUD,Y3L4,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QPEH,QPEH Fund Name AUD,QPEH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
MBJX,MBJX Fund Name AUD,MBJX,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
DSL5,DSL5 Fund Name AUD,DSL5,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
7LCD,7LCD Fund Name AUD,7LCD,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
