FundId,FundName,FundShortName,FundClass,FundType,FundFamily,FundBaseCurrecny,FundCountry,RegistrarId,TrustIEEId,FundIdentifierId,custodian
F5LB,F5LB Fund Name AUD,F5LB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,33147518,VAGLEDM
OB1X,OB1X Fund Name AUD,OB1X,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RP543483,CDEGCM
A070,A070 Fund Name AUD,A070,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,PH329742,SUUKTV
GDD0,GDD0 Fund Name AUD,GDD0,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,CC703633,CKKRWMQX
0VXH,0VXH Fund Name AUD,0VXH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,62952184,HCJQDB
TVF7,TVF7 Fund Name AUD,TVF7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,EJ296676,PKAQXG
OYUY,OYUY Fund Name AUD,OYUY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,WV508301,XINPPNV
UROQ,UROQ Fund Name AUD,UROQ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,MC995808,KCIIZL
USDV,USDV Fund Name AUD,USDV,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,OP215466,RSEMGJ
TFJS,TFJS Fund Name AUD,TFJS,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,QI371855,GMVCZXPG
XK2K,XK2K Fund Name AUD,XK2K,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,LM979891,NAJVJPXO
47Z9,47Z9 Fund Name AUD,47Z9,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,12212616,TAVDIJ
5BET,5BET Fund Name AUD,5BET,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,RF499415,MLGUPG
SJ28,SJ28 Fund Name AUD,SJ28,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QE800560,MJZVIQBW
ZON8,ZON8 Fund Name AUD,ZON8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AD124630,BQHUTML
OXEQ,OXEQ Fund Name AUD,OXEQ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,VI502402,DZMCWW
E08A,E08A Fund Name AUD,E08A,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,46402965,KJARPP
PSVO,PSVO Fund Name AUD,PSVO,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,PN851406,VGZOIJ
4HPI,4HPI Fund Name AUD,4HPI,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,KV990055,YZOAJG
M54J,M54J Fund Name AUD,M54J,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,VC255776,JHKGMAAF
S1D2,S1D2 Fund Name AUD,S1D2,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TB239042,EYLOXAFJ
W7Q8,W7Q8 Fund Name AUD,W7Q8,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TZ182210,ZCUFFP
AAQY,AAQY Fund Name AUD,AAQY,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,NJ413107,QFPVAN
AG0K,AG0K Fund Name AUD,AG0K,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,QM424156,ZIFYAY
MLFN,MLFN Fund Name AUD,MLFN,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,VW126547,TUXJQQJ
RJXH,RJXH Fund Name AUD,RJXH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,OI667356,BUXEXK
N7TZ,N7TZ Fund Name AUD,N7TZ,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HK287448,OQGMEMJV
5SQ7,5SQ7 Fund Name AUD,5SQ7,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AR485135,UBFYHT
110F,110F Fund Name AUD,110F,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,10338034,QUKLGA
I14R,I14R Fund Name AUD,I14R,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,PX973738,QCKGSID
FQLJ,FQLJ Fund Name AUD,FQLJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,BU581377,DWKBESOA
NN03,NN03 Fund Name AUD,NN03,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TP660020,NPJRDC
QIXL,QIXL Fund Name AUD,QIXL,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,PV312691,PHEKOE
K4J1,K4J1 Fund Name AUD,K4J1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TM797149,GYKRNGTZ
1ACA,1ACA Fund Name AUD,1ACA,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TB297958,PLQUGQVG
40BD,40BD Fund Name AUD,40BD,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HZ749009,RSDXXE
D2O3,D2O3 Fund Name AUD,D2O3,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HE974987,HHNTAAUT
3NX7,3NX7 Fund Name AUD,3NX7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,IF979628,AZOUSB
9LKV,9LKV Fund Name AUD,9LKV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,31372536,KMUCBYH
HYV3,HYV3 Fund Name AUD,HYV3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,85042430,PLONNSQ
2V0B,2V0B Fund Name AUD,2V0B,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,UJ785797,YSUPJVC
XMHP,XMHP Fund Name AUD,XMHP,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,LM162380,HQTDEN
KX9X,KX9X Fund Name AUD,KX9X,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZZ159909,LSNAXPT
S1CH,S1CH Fund Name AUD,S1CH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,15968111,HAIVYO
PM0X,PM0X Fund Name AUD,PM0X,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZL671593,FCTDCQ
4PTC,4PTC Fund Name AUD,4PTC,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,86681976,YCATXCCV
G6DP,G6DP Fund Name AUD,G6DP,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,QQ976822,JOLZVJTR
2M23,2M23 Fund Name AUD,2M23,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,WP561758,BZDDJEEJ
BANR,BANR Fund Name AUD,BANR,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AY779109,QVQONR
7PN5,7PN5 Fund Name AUD,7PN5,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,69592796,NOECGY
IQ1S,IQ1S Fund Name AUD,IQ1S,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,83012574,NXUYHBHD
0MDU,0MDU Fund Name AUD,0MDU,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TB597172,NLUKON
ZSF3,ZSF3 Fund Name AUD,ZSF3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,OO572946,IQMFJQ
75NB,75NB Fund Name AUD,75NB,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,67049433,JHIGRINV
5DMK,5DMK Fund Name AUD,5DMK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AS177775,NCTFXXR
W083,W083 Fund Name AUD,W083,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,TL767965,PFACBULH
Y3L4,Y3L4 Fund Name AUD,Y3L4,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZZ237110,EHBQZDY
QPEH,QPEH Fund Name AUD,QPEH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,LR504601,TZPPMGPS
MBJX,MBJX Fund Name AUD,MBJX,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,MB336049,YPTFDA
DSL5,DSL5 Fund Name AUD,DSL5,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,14739645,ZYKDKR
7LCD,7LCD Fund Name AUD,7LCD,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RA244777,GQRAZJUV
UWO3,UWO3 Fund Name AUD,UWO3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,39074883,DPYZEP
OPT7,OPT7 Fund Name AUD,OPT7,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,IE990310,FOQTBN
V3DS,V3DS Fund Name AUD,V3DS,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,FM363528,SMRJWW
IRPM,IRPM Fund Name AUD,IRPM,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AB393343,TOGWJTK
2IF9,2IF9 Fund Name AUD,2IF9,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,RL364813,AUVDII
I1JE,I1JE Fund Name AUD,I1JE,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RV782058,XYSZJFWH
6DNP,6DNP Fund Name AUD,6DNP,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,OU483020,KNJOZKRT
XL8H,XL8H Fund Name AUD,XL8H,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,76651185,OSTFMC
WRLT,WRLT Fund Name AUD,WRLT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,SF299282,GHVBDS
BUEJ,BUEJ Fund Name AUD,BUEJ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,IW647345,HQWYUV
8MWJ,8MWJ Fund Name AUD,8MWJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,UE596294,DKPFSE
BO9R,BO9R Fund Name AUD,BO9R,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,XL816066,JEZXAR
RBX7,RBX7 Fund Name AUD,RBX7,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,88168456,MKIRMP
8ZTQ,8ZTQ Fund Name AUD,8ZTQ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,MQ393410,KSGMOAJA
GQZH,GQZH Fund Name AUD,GQZH,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,82204738,YTARTX
FNUA,FNUA Fund Name AUD,FNUA,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,13087245,GLYWXA
